Unnamed: 0,index,name,price,year,brand,km_drive
2687,2687, SUZUKI SWIFT 1.2 RX-II,369000.0,2017,SUZUKI,85785
2688,2688, HONDA ACCORD 2.0 EL i-VTEC,368000.0,2010,HONDA,201901
2689,2689, SUZUKI SWIFT RX,349000.0,2015,SUZUKI,85845
2690,2690, NISSAN TEANA 2.0 XL,458000.0,2015,NISSAN,240701
2691,2691, BMW X3 xDrive20d,929000.0,2015,BMW,140000
2692,2692, BMW 520D Sport,919000.0,2013,BMW,30000
2693,2693, MERCEDES BENZ GLA200,918000.0,2014,MERCEDES,70000
2694,2694, MERCEDES BENZ GLC250 D,1890000.0,2016,MERCEDES,130000
2695,2695, ISUZU MU-X 1.9,768000.0,2016,ISUZU,0
2696,2696, TOYOTA ALPHARD 2.5 S C-Package,3599000.0,2022,TOYOTA,318
2697,2697, MERCEDES BENZ GLA 200 Urban,1068000.0,2017,MERCEDES,70000
2698,2698, BMW 320D Sport,1088000.0,2016,BMW,90000
2699,2699, MERCEDES BENZ C 250 AMG,2050000.0,2016,MERCEDES,32000
2700,2700, TOYOTA CAMRY 2.5 Hybrid,608000.0,2015,TOYOTA,221459
2701,2701, MERCEDES BENZ GLC250 D 4MATIC,1258000.0,2016,MERCEDES,215000
2702,2702, MERCEDES BENZ GLC250 D,2090000.0,2019,MERCEDES,24000
2703,2703, TOYOTA HILUX REVO 2.4 Prerunner E Plus,578000.0,2019,TOYOTA,46958
2704,2704, KIA RIO 1.4,228000.0,2012,KIA,77665
2705,2705, TOYOTA FORTUNER 2.4 V,1019000.0,2018,TOYOTA,0
2706,2706, NISSAN NOTE 1.2 VL,379000.0,2019,NISSAN,0
2707,2707, HONDA HR-V 1.8 EL,719000.0,2019,HONDA,0
2708,2708, TOYOTA SIENTA 1.5 V,499000.0,2017,TOYOTA,0
2709,2709, MAZDA CX-3,698000.0,2022,MAZDA,2839
2710,2710, MAZDA 2 1.3 Sports High Connect,358000.0,2018,MAZDA,119338
2711,2711, NISSAN MARCH 1.2 E,120000.0,2013,NISSAN,165000
2712,2712, TOYOTA VELLFIRE 2.4 Z G EDITION,1298000.0,2012,TOYOTA,170000
2713,2713, MERCEDES BENZ C250 AMG Dynamic,2290000.0,2018,MERCEDES,38000
2714,2714, MERCEDES BENZ E350 2.0 e Avantgarde,1499000.0,2017,MERCEDES,80000
2715,2715, MERCEDES BENZ CLA250 AMG Dynamic,1499000.0,2019,MERCEDES,30000
2716,2716, BMW 528I M Sport,1249000.0,2012,BMW,109911
2717,2717, BMW 740LI,1080000.0,2010,BMW,61610
2718,2718, MERCEDES BENZ E350 2.0 e Avantgarde,1499000.0,2017,MERCEDES,70000
2719,2719, BMW 320D Sport,1088000.0,2016,BMW,90000
2720,2720, ISUZU MU-7 3.0 Primo Super Platinum,378000.0,2009,ISUZU,0
2721,2721, MERCEDES BENZ GLC250 4MATIC,2397000.0,2019,MERCEDES,100000
2722,2722, SUZUKI SWIFT 1.2 GLX,301900.0,2016,SUZUKI,42999
2723,2723, TOYOTA SPORT CRUISER 2.5 E,199000.0,2004,TOYOTA,220000
2724,2724, HONDA BR-V 1.5 SV,469000.0,2016,HONDA,114239
2725,2725, TOYOTA FORTUNER 3.0 V,679000.0,2014,TOYOTA,161968
2726,2726, MAZDA 2 1.3 Sports High Plus,349000.0,2017,MAZDA,98000
2727,2727, TOYOTA HILUX REVO 2.8 J Plus,468000.0,2020,TOYOTA,0
2728,2728, TOYOTA FORTUNER 3.0 V,638000.0,2012,TOYOTA,0
2729,2729, TOYOTA VIOS 1.5 J,229000.0,2010,TOYOTA,150000
2730,2730, BMW Z4 sDrive20i,2197000.0,2015,BMW,80000
2731,2731, MERCEDES BENZ GL-CLASS,3799000.0,2020,MERCEDES,43000
2732,2732, MERCEDES BENZ C43 AMG,2890000.0,2019,MERCEDES,54000
2733,2733, TOYOTA HILUX TIGER D4D,158000.0,2003,TOYOTA,208556
2734,2734, TOYOTA VIOS 1.5 TRD Sportivo,358000.0,2016,TOYOTA,64439
2735,2735, TOYOTA CAMRY 2.0 G,709000.0,2017,TOYOTA,0
2736,2736, TOYOTA CAMRY 2.0 G Extremo,328000.0,2012,TOYOTA,0
2737,2737, TOYOTA ALTIS 1.6 G,434000.0,2017,TOYOTA,0
2738,2738, MITSUBISHI L200-CYCLONE,50000.0,1993,MITSUBISHI,0
2739,2739, TOYOTA SPORT CRUISER 2.5 E,199000.0,2004,TOYOTA,229029
2740,2740, TOYOTA VIOS 1.5 J,229000.0,2010,TOYOTA,154032
2741,2741, TOYOTA HILUX VIGO 3.0 G VN Turbo 4x4,358000.0,2006,TOYOTA,240000
2742,2742, HONDA ACCORD 2.4 EL i-VTEC,318000.0,2010,HONDA,204387
2743,2743, TOYOTA FORTUNER 3.0 V,498000.0,2009,TOYOTA,170000
2744,2744, MG ZS 1.5 X,398000.0,2018,MG,110239
2745,2745, TOYOTA ALPHARD 2.5 Hybrid E-Four 4WD,2790000.0,2020,TOYOTA,39019
2746,2746, BMW 320D,1300000.0,2018,BMW,0
2747,2747, MERCEDES BENZ GLA250 AMG,1390000.0,2017,MERCEDES,67000
2748,2748, BMW SERIES 5,1990000.0,2018,BMW,37000
2749,2749, AUDI TT,969000.0,2009,AUDI,82000
2750,2750, AUDI A1 1.4 TFSI,699000.0,2011,AUDI,98000
2751,2751, HONDA CIVIC 1.8 S i-VTEC,350000.0,2013,HONDA,165201
2752,2752, MAZDA 2 1.5 XD Sport High Plus L,418000.0,2018,MAZDA,80187
2753,2753, MERCEDES BENZ S500 E,2690000.0,2016,MERCEDES,49000
2754,2754, BMW X5 sDrive25d,2050000.0,2018,BMW,90000
2755,2755, BMW 740LI,1099000.0,2012,BMW,50000
2756,2756, BMW I8,5690000.0,2016,BMW,6000
2757,2757, HONDA BR-V 1.5 SV,529000.0,2018,HONDA,0
2758,2758, MITSUBISHI PAJERO SPORT 2.5 GT 4WD,578000.0,2015,MITSUBISHI,160000
2759,2759, TOYOTA HILUX VIGO 2.5 G,328000.0,2009,TOYOTA,188591
2760,2760, MERCEDES BENZ GLA200,2148000.0,2022,MERCEDES,1787
2761,2761, BMW 320D M Sport Touring,1990000.0,2019,BMW,36000
2762,2762, TOYOTA HILUX VIGO CHAMP,508000.0,2010,TOYOTA,143678
2763,2763, ISUZU D-MAX 1.9 S,619000.0,2021,ISUZU,24492
2764,2764, FORD RANGER 2.2 Hi-Rider XLT,339000.0,2013,FORD,176385
2765,2765, MERCEDES BENZ C200 Avantgarde,2597000.0,2020,MERCEDES,20000
2766,2766, AUDI TT 2.0 45 TFSI quattro S line 4WD,2197000.0,2018,AUDI,40000
2767,2767, HONDA CITY 1.5 S i-VTEC,370000.0,2018,HONDA,46000
2768,2768, AUDI TTS 2.0 TFSI Quattro 4WD,1397000.0,2012,AUDI,80000
2769,2769, LEXUS CT200H 1.8 F-SPORT,499000.0,2012,LEXUS,68000
2770,2770, TOYOTA FORTUNER 2.5 G,665000.0,2015,TOYOTA,93438
2771,2771, TOYOTA HILUX VIGO CHAMP,445000.0,2014,TOYOTA,99027
2772,2772, HYUNDAI H-1 2.5 Deluxe,758000.0,2013,HYUNDAI,130000
2773,2773, TOYOTA ALTIS 1.8 E,265000.0,2011,TOYOTA,225249
2774,2774, MITSUBISHI SPACE WAGON 2.4 GT,268000.0,2008,MITSUBISHI,0
2775,2775, MITSUBISHI SPACE WAGON 2.4 GT,248000.0,2008,MITSUBISHI,180000
2776,2776, TOYOTA HARRIER 2.0 PREMIUM,959000.0,2015,TOYOTA,130000
2777,2777, TOYOTA FORTUNER,1539000.0,2020,TOYOTA,46085
2778,2778, TOYOTA CAMRY 2.0 G,679000.0,2017,TOYOTA,171603
2779,2779, TOYOTA CHR Hybrid,899000.0,2021,TOYOTA,15000
2780,2780, TOYOTA FORTUNER 2.8 V 4WD,999000.0,2017,TOYOTA,241762
2781,2781, TOYOTA INNOVA 2.0 G Exclusive,369000.0,2011,TOYOTA,172654
2782,2782, MITSUBISHI TRITON 2.5 GLS Plus,379000.0,2013,MITSUBISHI,175423
2783,2783, ISUZU D-MAX 1.9 Hi-Lander Z-Prestige,519000.0,2018,ISUZU,0
2784,2784, NISSAN NP 300 NAVARA 2.5 Calibre E Black Edition,474000.0,2019,NISSAN,0
2785,2785, ISUZU D-MAX 3.0 Hi-Lander Z-Prestige,514000.0,2019,ISUZU,0
2786,2786, TOYOTA HILUX REVO 2.4 Prerunner J Plus,589000.0,2021,TOYOTA,0
2787,2787, FORD RANGER 2.2 Hi-Rider XLT,599000.0,2018,FORD,0
2788,2788, FORD MUSTANG 2.3 EcoBoost,2560000.0,2016,FORD,33000
2789,2789, LAMBORGHINI HURACAN 5.2 LP610-4 4WD,22800000.0,2020,LAMBORGHINI,12000
2790,2790, LAMBORGHINI HURACAN LP610-4,21900000.0,2021,LAMBORGHINI,9000
2791,2791, BMW SERIES 5,1890000.0,2018,BMW,57000
2792,2792, TOYOTA CHR HV Mid,679000.0,2018,TOYOTA,75000
2793,2793, SUZUKI CELERIO 1.0 GA,269000.0,2022,SUZUKI,96
2794,2794, ISUZU D-MAX,619000.0,2021,ISUZU,16000
2795,2795, MERCEDES BENZ GLE500 E 4MATIC,2289000.0,2017,MERCEDES,90000
2796,2796, MERCEDES BENZ E200 CGI,699000.0,2011,MERCEDES,93000
2797,2797, TOYOTA ALPHARD HYBRID,2799000.0,2020,TOYOTA,20000
2798,2798, MINI COOPER D,929000.0,2014,MINI,50000
2799,2799, MITSUBISHI LANCER EX 2.0 GT,318000.0,2012,MITSUBISHI,133000
2800,2800, MERCEDES BENZ E350 2.0 e AMG Dynamic,1988000.0,2018,MERCEDES,75000
2801,2801, NISSAN FRONTIER 2.5 AE,158000.0,2006,NISSAN,240000
2802,2802, BMW X1 sDrive18d,1169000.0,2017,BMW,69000
2803,2803, HONDA ACCORD 2.4 EL NAVI,418000.0,2011,HONDA,230000
2804,2804, HONDA ACCORD 2.0 EL i-VTEC,378000.0,2011,HONDA,0
2805,2805, MERCEDES BENZ CLA250 AMG Dynamic,1097000.0,2016,MERCEDES,80000
2806,2806, MERCEDES BENZ E300 Executive,869000.0,2013,MERCEDES,71000
2807,2807, TOYOTA ALPHARD 2.5 S C-Package,3390000.0,2021,TOYOTA,34000
2808,2808, MAZDA CX-5 2.0 SP,785000.0,2018,MAZDA,84000
2809,2809, TOYOTA ALTIS 1.6 E,228000.0,2009,TOYOTA,180000
2810,2810, HONDA CITY 1.5 SV i-VTEC,228000.0,2008,HONDA,98447
2811,2811, TOYOTA YARIS 1.2 TRD Sportivo,385000.0,2017,TOYOTA,50000
2812,2812, TOYOTA FORTUNER 3.0 V 4WD,678000.0,2012,TOYOTA,175259
2813,2813, TOYOTA YARIS ATIV 1.2 E,375000.0,2019,TOYOTA,70000
2814,2814, TOYOTA YARIS 1.2 E,379000.0,2019,TOYOTA,59000
2815,2815, BMW 320D,1080000.0,2018,BMW,130000
2816,2816, BMW X3 xDrive20d,959000.0,2015,BMW,140000
2817,2817, SUBARU BRZ 2.0,1497000.0,2017,SUBARU,80000
2818,2818, MERCEDES BENZ SLK200,999000.0,2004,MERCEDES,23000
2819,2819, BMW 520D Sport,2290000.0,2020,BMW,13000
2820,2820, MERCEDES BENZ S300 BlueTEC HYBRID,2190000.0,2014,MERCEDES,52000
2821,2821, ISUZU D-MAX 3.0 Hi-Lander Z-Prestige,720000.0,2018,ISUZU,160000
2822,2822, ISUZU D-MAX 1.9 Hi-Lander L,489000.0,2018,ISUZU,65000
2823,2823, HONDA CIVIC E,279000.0,2008,HONDA,156000
2824,2824, NISSAN NOTE 1.2 VL,379000.0,2019,NISSAN,70000
2825,2825, TOYOTA HILUX VIGO 3.0 G Prerunner,339000.0,2010,TOYOTA,218000
2826,2826, TOYOTA SPORT CRUISER 2.5 Prerunner E,279000.0,2003,TOYOTA,279000
2827,2827, TOYOTA ESTIMA 2.4 Aeras Premium,1159000.0,2015,TOYOTA,132000
2828,2828, TOYOTA HILUX REVO 2.8 G 4WD,819000.0,2017,TOYOTA,102000
2829,2829, MERCEDES BENZ GL-CLASS,2950000.0,2020,MERCEDES,31000
2830,2830, BMW X1 sDrive18i,759000.0,2015,BMW,78000
2831,2831, MERCEDES BENZ E200,2097000.0,2014,MERCEDES,70000
2832,2832, TESLA MODEL 3,2897000.0,2022,TESLA,100
